:START_ID,has,:TYPE,:END_ID
c10009,has,HAS,M531
c10009,has,HAS,M144
c10009,has,HAS,M533
c10009,has,HAS,M536
c10009,has,HAS,M112
c10009,has,HAS,M541
c10009,has,HAS,M543
c10009,has,HAS,M544
c10009,has,HAS,M517
c10009,has,HAS,M558
c10009,has,HAS,M463
c10009,has,HAS,M131
c10030,has,HAS,M546
c10030,has,HAS,M170
c10030,has,HAS,M550
c10030,has,HAS,M554
c10030,has,HAS,M84
c10030,has,HAS,M557
c10030,has,HAS,M519
c10030,has,HAS,M463
c10030,has,HAS,M156
c10030,has,HAS,M515
c10030,has,HAS,M534
c10030,has,HAS,M415
c10030,has,HAS,M539
c10030,has,HAS,M540
c10030,has,HAS,M549
c10030,has,HAS,M551
c10030,has,HAS,M553
c10030,has,HAS,M555
c10030,has,HAS,M378
c10030,has,HAS,M131
c10030,has,HAS,M531
c10030,has,HAS,M264
c10030,has,HAS,M144
c10030,has,HAS,M532
c10030,has,HAS,M533
c10030,has,HAS,M537
c10030,has,HAS,M112
c10030,has,HAS,M542
c10030,has,HAS,M545
c10030,has,HAS,M517
c10030,has,HAS,M547
c10030,has,HAS,M548
c10030,has,HAS,M3
c10030,has,HAS,M552
c10030,has,HAS,M143
c10030,has,HAS,M38
c10030,has,HAS,M560
c10030,has,HAS,M562
c10030,has,HAS,M102
c10030,has,HAS,M265
c10030,has,HAS,M536
c10030,has,HAS,M516
c10030,has,HAS,M538
c10030,has,HAS,M541
c10030,has,HAS,M276
c10030,has,HAS,M425
c10030,has,HAS,M261
c10030,has,HAS,M160
c10030,has,HAS,M563
c10030,has,HAS,M543
c10030,has,HAS,M544
c10030,has,HAS,M561
c10030,has,HAS,M535
c10030,has,HAS,M151
c10030,has,HAS,M163
c10030,has,HAS,M518
c10030,has,HAS,M558
c10030,has,HAS,M422
c10030,has,HAS,M564
c10030,has,HAS,M565
c10030,has,HAS,M566
c10030,has,HAS,M567
c10030,has,HAS,M568
c10030,has,HAS,M569
c10030,has,HAS,M570
c10030,has,HAS,M571
c10030,has,HAS,M572
c10030,has,HAS,M573
c10030,has,HAS,M574
c10030,has,HAS,M575
c10030,has,HAS,M576
c10030,has,HAS,M577
c10030,has,HAS,M443
