,0,1,2
767,10251,食品科学与工程类,B
768,10251,食品科学与工程类,D
769,10251,药学类,D
770,10251,环境科学与工程类,D
771,10251,机械类,B
772,10251,机械类,D
773,10251,生物工程类,D
774,10251,制药工程,D
775,10251,材料类,B
776,10251,材料类,D
777,10251,安全工程,D
778,10251,化学,D
779,10255,理科试验班,D
780,10255,服装设计与工程,A
781,10255,服装设计与工程,D
782,10255,数学类,D
783,10255,材料类,D
784,10255,物理学类,A
785,10255,物理学类,D
786,10255,功能材料,D
787,10255,经济与贸易类,D
788,10255,经济管理试验班,B
789,10255,经济管理试验班,D
790,10255,能源与环境系统工程,D
791,10255,计算机类,D
792,10255,纺织类,B
793,10255,纺织类,D
794,10255,管理科学与工程类,D
795,10255,机械工程,D
796,10255,新闻传播学类,B
797,10255,新闻传播学类,D
798,10255,电子信息类,D
799,10255,化学类,D
800,10255,环境科学与工程类,B
801,10255,环境科学与工程类,D
802,10255,英语,D
803,10269,心理学类,D
804,10269,数学类,A
805,10269,数学类,D
806,10269,统计学类,D
807,10269,工商管理类,D
808,10269,金融学类,A
809,10269,金融学类,D
810,10269,软件工程,D
811,10269,数学与应用数学,D
812,10269,汉语国际教育,B
813,10269,汉语国际教育,D
814,10269,汉语言文学,D
815,10269,电子信息类,D
816,10269,化学,B
817,10269,化学,D
818,10269,英语,D
819,10269,汉语言文学,D
820,10269,工商管理类,B
821,10269,工商管理类,D
822,10269,历史学,D
823,10269,计算机科学与技术,D
824,10269,英语,B
825,10269,英语,D
826,10269,新闻传播学类,D
827,10269,汉语言文学,D
828,10269,生物科学类,C
829,10269,物理学类,D
830,10269,法学,D
831,10269,金融学类,C
832,10269,英语,D
833,10269,历史学,D
834,10269,新闻传播学类,C
835,10269,物理学,D
836,10269,化学,D
837,10269,地理科学,C
838,10269,英语,D
839,10269,思想政治教育,D
840,10269,汉语言文学,C
841,10269,地理科学,D
842,10269,思想政治教育,D
843,10269,生物科学,D
844,10276,法学类,D
845,10276,经济学,A
846,10276,经济学,D
847,10276,国际经济与贸易,D
848,10276,知识产权（卓越人才实验班）,D
849,10276,会计学,A
850,10276,会计学,D
851,10276,金融学,D
852,10276,社会学类,D
853,10276,新闻传播学类,B
854,10276,新闻传播学类,D
855,10276,知识产权（卓越人才实验班）,D
856,10276,公共管理类,D
857,10276,法学类,B
858,10276,法学类,D
859,10276,金融学（数量金融）,D
860,10276,侦查学（经济侦查）,D
861,10276,会计学,B
862,10276,会计学,D
863,10276,金融学,D
864,10276,国际经济与贸易,D
865,10276,社会学类,B
866,10276,社会学类,D
867,10276,新闻传播学类,D
868,10276,侦查学（刑事侦查）,D
869,10276,计算机科学与技术（网信安全）,C
870,10276,公共管理类,D
871,10276,侦查学（经济侦查）,D
872,10276,侦查学（刑事侦查）,C
873,10284,计算机科学与技术,D
874,10284,软件工程,A
875,10284,软件工程,D
876,10284,经济管理试验班,D
877,10284,工科试验班,D
878,10284,理科试验班(数理科学类),A
879,10284,理科试验班(数理科学类),D
880,10284,电子信息类,D
881,10284,理科试验班类(化学与生命科学类),D
882,10284,理科试验班类(地球科学与资源环境类),B
883,10284,理科试验班类(地球科学与资源环境类),D
884,10284,经济管理试验班,D
885,10284,人文科学试验班(人文艺术传播类),D
886,10284,外国语言文学类,B
887,10284,外国语言文学类,D
888,10284,社会科学试验班,D
889,10285,金融学,D
890,10285,临床医学('5+3'一体化),A
891,10285,临床医学('5+3'一体化),D
