major (origin),major2 (disambiguated),ID
国际经济与贸易（瀚德实验1班）德语,应用经济学,202
国际经济与贸易（瀚德实验1班德语，仅招有专业志愿考生）,应用经济学,202
国际经济与贸易(瀚德实验1班德语，仅招有专业志愿考生),应用经济学,202
国际经济与贸易（瀚德实验1班德语，招有专业志愿考生）,应用经济学,202
国际经济与贸易（瀚德实验2班）葡萄牙语,应用经济学,202
国际经济与贸易（瀚德实验2班葡萄牙语，仅招有专业志愿考生）,应用经济学,202
国际经济与贸易（瀚德实验班1班）德语,应用经济学,202
国际经济与贸易（瀚德实验班2班葡萄牙语，仅招有专业志愿考生）,应用经济学,202
国际政治,政治学,302
国际政治（双语类）,政治学,302
国际政治（民考汉）,政治学,302
国际政治（国家专项）,政治学,302
国际政治（单列）,政治学,302
国际政治（单列类）,政治学,302
国际政治（普通类）,政治学,302
国际商务,政治学,302
国际商务（中外合作办学）,应用经济学,202
国际商务（双语实验班）,应用经济学,202
国际商务（外语二学位）,应用经济学,202
国际商务（全英文科教学）,应用经济学,202
国际商务(全英文科教学),应用经济学,202
国际商务（厦门大学马来西亚分校）,应用经济学,202
国际商务（德语与德语国家研究）,应用经济学,202
国家专项|机械类,机械工程,802
国家专项|光电信息科学与工程,测绘科学与技术,816
国家专项|自动化,农业工程;机械工程,828;802
国家专项|英语,外国语言文学,502
国家专项|数学类,数学,701
国家专项|管理科学与工程类,材料科学与工程,805
制药工程,药学,1007
制药工程 ,药学,1007
制药工程（少）,药学,1007
制药工程(民族班),药学,1007
知识产权,法学,301
知识产权 ,法学,301
知识产权（卓越人才实验班）,法学,301
物化生组,化学工程与技术,817
物流工程,公共管理,1204
物流管理,公共管理,1204
物流管理（文史）,公共管理;工商管理,1204;1202
物流管理（双语类）,公共管理;工商管理,1204;1202
物流管理（民）,公共管理;工商管理,1204;1202
物流管理（物流系统工程）,公共管理;工商管理,1204;1202
物流管理（单列类）,公共管理;工商管理,1204;1202
物流管理（定向）,公共管理;工商管理,1204;1202
物流管理(定向),公共管理;工商管理,1204;1202
物流管理（闽台合作）,公共管理;工商管理,1204;1202
物流管理(闽台合作),公共管理;工商管理,1204;1202
物流管理（理工）,公共管理;工商管理,1204;1202
物流管理（普通类）,公共管理;工商管理,1204;1202
物流管理（管理学创新实验班）,公共管理;工商管理,1204;1202
物流管理与工程类,公共管理;工商管理,1204;1202
物流管理科,公共管理;工商管理,1204;1202
物理学,物理学,702
物理学（公费师范）,物理学,702
物理学（双语类）,物理学,702
物理学（协同创新实验班）,物理学,702
物理学（师范）,物理学,702
物理学(师范),物理学,702
物理学（严济慈物理学英才班）,物理学,702
物理学（免费师范）,物理学,702
物理学（单列类）,物理学,702
物理学（预科）,物理学,702
物理学(基地班),物理学,702
物理学（基地班）,物理学,702
物理学（基础学科拔尖人才培养实验班）,物理学,702
物理学（普通类）,物理学,702
物理学类,物理学,702
物理学类 ,物理学,702
物理学类(含应用物理学、光电信息科学与工程专业),物理学;信息与通讯工程,702;810
物理学类（应用物理学、物理学、电子信息科学与技术）,物理学;电子科学与技术,702;809
物理学类（物理学、应用物理学）,物理学,702
物理学类(物理学、应用物理学),物理学,702
物理学类(物理学、应用物理学) ,物理学,702
物理学类（按光电技术与物理类培养）,物理学,702
物理菁英班,物理学,702
物理菁英班（国家专项）,物理学,702
物联网工程,信息与通讯工程,810
物联网工程（中外合作办学）,信息与通讯工程,810
物联网工程(汉),信息与通讯工程,810
物联网工程（汉）,信息与通讯工程,810
物联网工程（民）,信息与通讯工程,810
物联网工程(民),信息与通讯工程,810
物联网工程（单列四年）,信息与通讯工程,810
物联网工程（单列类）,信息与通讯工程,810
物联网工程（普通类）,信息与通讯工程,810
侦查学（刑事侦查）,军队指挥学,1105
侦查学（经济侦查）,军队指挥学,1105
质量管理工程,"工商管理;农林经济管理;公共管理;图书情报与档案管理",1202;1203;1204;1205
金属材料工程,材料科学与工程,805
金属材料工程（日语强化）,材料科学与工程,805
金融工程,应用经济学,202
金融学,应用经济学,202
金融学  (  国际金融  ),应用经济学,202
金融学  (  金融经济  ),应用经济学,202
金融学  (  金融科技  ),应用经济学,202
金融学（121项目）,应用经济学,202
金融学(专项理）,应用经济学,202
金融学（五年）,应用经济学,202
金融学（中外合作办学）,应用经济学,202
金融学（中外合作办学类）,应用经济学,202
金融学(中美校际交流),应用经济学,202
金融学（双语实验班）,应用经济学,202
金融学（双语类）,应用经济学,202
金融学（双培计划）,应用经济学,202
金融学(含国际化班),应用经济学,202
金融学（证券与期货方向）,应用经济学,202
金融学（国际组织与全球治理）,应用经济学,202
金融学（国家贫困专项）,应用经济学,202
金融学（金融工程）,应用经济学,202
金融学（金融科技）,应用经济学,202
金融学（单列）,应用经济学,202
金融学（单列类）,应用经济学,202
金融学(定向),应用经济学,202
金融学（俄语与俄语国家研究）,应用经济学,202
金融学（厦门大学与爱尔兰都柏林商学院合作举办）,应用经济学,202
金融学（厦门大学马来西亚分校）,应用经济学,202
金融学（普通类）,应用经济学,202
金融学（数量金融）,应用经济学,202
金融学类,应用经济学,202
金融学类（中外合作办学,应用经济学,202
金融学类（中外合作办学）,应用经济学,202
金融学类(中外合作办学)(金融学)(亚澳),应用经济学,202
